"﻿question_id","db_id","question","SQL","evidence","Comment","difficulty","Annotation"
"6","california_schools","Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500","Magnet schools or offer a magnet program means that Magnet = 1","","simple",""
"46","california_schools","Which state special schools have the highest number of enrollees from grades 1 through 12?","SELECT T2.School FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.DOC = 31 ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1","State Special Schools refers to DOC = 31; Grades 1 through 12 means K-12","Question asks for ""which schools"" in plural, whereas gold query only returns the top 1. Erroneous gold query","simple","3"
"60","california_schools","What are the websites for all the partially virtual chartered schools located in San Joaquin?","SELECT Website FROM schools WHERE County = 'San Joaquin' AND Virtual = 'P' AND Charter = 1","Virtual = 'P' means partially virtual; Charter schools refers to Charter = 1 in the table schools","","simple",""
"70","california_schools","How many active and closed District Community Day Schools are there in the county of Alpine?","SELECT COUNT(School) FROM schools WHERE (StatusType = 'Closed' OR StatusType = 'Active') AND County = 'Alpine'","","","simple",""
"69","california_schools","Please provide the National Center for Educational Statistics school district identification number for all schools with a School Ownership Code that are part of the State Special Schools.","SELECT NCESDist FROM schools WHERE SOC = 31","State Special Schools means that SOC = 31.","","simple",""
"33","california_schools","If there are any, what are the websites address of the schools with a free meal count of 1,900-2,000 to students aged 5-17? Include the name of the school.","SELECT T2.Website, T1.`School Name` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Free Meal Count (Ages 5-17)` BETWEEN 1900 AND 2000 AND T2.Website IS NOT NULL","","","moderate",""
"82","california_schools","What is the grade span offered in the school with the highest longitude?","SELECT GSoffered FROM schools ORDER BY ABS(longitude) DESC LIMIT 1","","","simple",""
"30","california_schools","Which cities have the top 5 lowest enrollment number for students in grades 1 through 12?","SELECT T2.City FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode GROUP BY T2.City ORDER BY SUM(T1.`Enrollment (K-12)`) ASC LIMIT 5","K-12 refers to students in grades 1 through 12.","The frpm table has the information about enrollment grades 1-12. But joining over frpm table means you will only get schools that have frpm information. Question cannot be answered with data from the database","simple","6"
"39","california_schools","What is the average number of test takers from Fresno schools that opened between 1/1/1980 and 12/31/1980?","SELECT AVG(T1.NumTstTakr) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE strftime('%Y', T2.OpenDate) = '1980' AND T2.County = 'Fresno'","between 1/1/1980 and 12/31/1980 means the year = 1980","","simple",""
"51","california_schools","In which mailing street address can you find the school that has the lowest average score in reading? Also give the school's name.","SELECT T2.MailStreet, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrRead IS NOT NULL ORDER BY T1.AvgScrRead ASC LIMIT 1","","","simple",""
"816","superhero","Provide the names of superheroes with attribute value between 75 to 80.","SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN hero_attribute AS T2 ON T1.id = T2.hero_id WHERE T2.attribute_value BETWEEN 75 AND 80","names of superheroes refers to superhero_name; attribute value between 75 to 80 refers to attribute_value BETWEEN 75 AND 80;","","simple",""
"743","superhero","What is the percentage of superheroes who act in their own self-interest or make decisions based on their own moral code? Indicate how many of the said superheroes were published by Marvel Comics.","SELECT (CAST(COUNT(*) AS REAL) * 100 / (SELECT COUNT(*) FROM superhero)), CAST(SUM(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE 0 END) AS REAL) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN alignment AS T3 ON T3.id = T1.alignment_id WHERE T3.alignment = 'Bad'","published by Marvel Comics refers to publisher_name = 'Marvel Comics'; superheroes who act in their own self-interest or make decisions based on their own moral code refers to alignment = 'Bad'; calculation = MULTIPLY(DIVIDE(SUM(alignment = 'Bad); count(id)), 100)","","challenging",""
"760","superhero","In superheroes with height between 150 to 180, what is the percentage of heroes published by Marvel Comics?","SELECT CAST(COUNT(CASE WHEN T2.publisher_name = 'Marvel Comics' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T1.height_cm BETWEEN 150 AND 180","height between 150 to 180 refers to height_cm BETWEEN 150 AND 180; heroes published by Marvel Comics refers to publisher_id = 13; calculation = MULTIPLY(DIVIDE(SUM(publisher.id = 13)), COUNT(publisher.id), 100)","","challenging",""
"722","superhero","What is the colour of Apocalypse's skin?","SELECT T2.colour FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.skin_colour_id = T2.id WHERE T1.superhero_name = 'Apocalypse'","Apocalypse refers to superhero_name = 'Apocalypse'; colour of skin refers to colour where skin_colour_id = colour.id","","simple",""
"772","superhero","List the eyes, hair and skin colour of all female superheroes published by Dark Horse Comics.","SELECT T1.eye_colour_id, T1.hair_colour_id, T1.skin_colour_id FROM superhero AS T1 INNER JOIN publisher AS T2 ON T2.id = T1.publisher_id INNER JOIN gender AS T3 ON T3.id = T1.gender_id WHERE T2.publisher_name = 'Dark Horse Comics' AND T3.gender = 'Female'","eyes refers to eye_colour_id; hair refers to hair_colour_id; skin colour refers to skin_colour_id; female superheroes refers to gender = 'Female'; published by Dark Horse Comics refers to publisher_name = 'Dark Horse Comics';","","challenging",""
"837","superhero","Give the hero ID of superhero with the lowest attribute value.","SELECT hero_id FROM hero_attribute WHERE attribute_value = ( SELECT MIN(attribute_value) FROM hero_attribute )","lowest attribute value refers to MIN(attribute_value);","Many superheros can have he lowest attribute value (invalid to ask for a single hero ID). Poorly stated question","simple","2,6"
"717","superhero","Please list all the superpowers of 3-D Man.","SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T1.superhero_name = '3-D Man'","3-D Man refers to superhero_name = '3-D Man'; superpowers refers to power_name","","simple",""
"836","superhero","What is the total number of superheroes that have John as their first name?","SELECT COUNT(id) FROM superhero WHERE full_name LIKE 'John%'","have John as their first name refers to full_name LIKE 'John%';","","simple",""
"830","superhero","Identify the weakest attribute of the Black Panther.","SELECT T3.attribute_name FROM superhero AS T1 INNER JOIN hero_attribute AS T2 ON T1.id = T2.hero_id INNER JOIN attribute AS T3 ON T2.attribute_id = T3.id WHERE T1.superhero_name = 'Black Panther' ORDER BY T2.attribute_value ASC LIMIT 1","weakest attribute refers to attribute_name WHERE MIN(attribute_value); Black Panther refers to superhero_name = 'Black Panther';","","moderate",""
"751","superhero","List down at least five superpowers of male superheroes.","SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T3.id = T2.power_id INNER JOIN gender AS T4 ON T4.id = T1.gender_id WHERE T4.gender = 'Male' LIMIT 5","male refers to gender = 'Male'; superpowers refers to power_name;","","moderate",""
"761","superhero","Among the male superheroes, list the full names of superheroes with weight greater than the 79% average weight of all superheroes.","SELECT T1.full_name FROM superhero AS T1 INNER JOIN gender AS T2 ON T1.gender_id = T2.id WHERE T2.gender = 'Male' AND T1.weight_kg * 100 > ( SELECT AVG(weight_kg) FROM superhero ) * 79","Calculation = weight_kg > MULTIPLY(AVG(weight_kg), 0.79)","","moderate",""
"728","superhero","Among the superheroes from Marvel Comics, what is the percentage of those who have the super power of ""Super Strength""?","SELECT CAST(COUNT(CASE WHEN T3.power_name = 'Super Strength' THEN T1.id ELSE NULL END) AS REAL) * 100 / COUNT(T1.id) FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id INNER JOIN publisher AS T4 ON T1.publisher_id = T4.id WHERE T4.publisher_name = 'Marvel Comics'","the superheroes from Marvel Comics refers to publisher_name = 'Marvel Comics'; super power of ""Super Strength"" refers to power_name = 'Super Strength'; Calculation = MULTIPLY(DIVIDE(SUM(power_name = 'Super Strength'), COUNT(id)), 100)","","challenging",""
"821","superhero","List down Ajax's superpowers.","SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T1.superhero_name = 'Ajax'","Ajax refers to superhero_name = 'Ajax'; superpowers refers to power_name;","","simple",""
"812","superhero","List down at least five full names of superheroes with blue eyes.","SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id WHERE T2.colour = 'Blue' LIMIT 5","blue eyes refers to colour.colour = 'Blue' WHERE eye_colour_id = colour.id;","","simple",""
"749","superhero","Provide the superpowers of the superhero called Deathlok.","SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T1.superhero_name = 'Deathlok'","superpowers refers to power_name; Deathlok refers to superhero_name = 'Deathlok'","","simple",""
"767","superhero","What is the average of superheroes with no skin colour?","SELECT CAST(COUNT(*) AS REAL) / SUM(CASE WHEN T2.id = 1 THEN 1 ELSE 0 END) FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.skin_colour_id = T2.id","average = DIVIDE(COUNT(superhero.id), SUM(skin_colour_id = 1)); no skin colour refers to skin_colour_id WHERE colour.id = 1;","Faulty percentage calculation, should be opposite. Should be SUM(...) / CAST(COUNT(..))","simple","3"
"764","superhero","What are the superpowers of heroes with ID 1?","SELECT DISTINCT T2.power_name FROM hero_power AS T1 INNER JOIN superpower AS T2 ON T1.power_id = T2.id WHERE T1.hero_id = 1","superpowers refers to power_name; heroes with ID 1 refers to hero_id = 1;","Syntactic errors in question. ","simple","1"
"798","superhero","What is the publisher for Hawkman, Karate Kid and Speedy?","SELECT T2.publisher_name FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T1.superhero_name IN ('Hawkman', 'Karate Kid', 'Speedy')","publisher refers to publisher_name; Hawkman refers to superhero_name = 'Hawkman'; Karate Kid refers to superhero_name = 'Karate Kid'; Speedy refers to superhero_name = 'Speedy';","","moderate",""
"741","superhero","What is the name of the superhero that has the most powers?","SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id GROUP BY T1.superhero_name ORDER BY COUNT(T2.hero_id) DESC LIMIT 1","name of the superhero refers to superhero_name; superhero that has the most powers refers to MAX(COUNT(superhero_name))","","simple",""
"833","superhero","Name the superhero, otherwise known as Charles Chandler.","SELECT superhero_name FROM superhero WHERE full_name = 'Charles Chandler'","name the superhero refers to superhero_name; Charles Chandler is the full name of superhero;","","simple",""
"1217","thrombosis_prediction","For all patient born in 1982, state if their albumin is within normal range.","SELECT CASE WHEN T2.ALB >= 3.5 AND T2.ALB <= 5.5 THEN 'normal' ELSE 'abnormal' END FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Birthday) = '1982'","Year(Birthday) = '1982'; albumin is within normal range refers to ALB between 3.5 and 5.5","","moderate",""
"1258","thrombosis_prediction","How many patients with a normal Rhuematoid Factor has a positive measure of degree of coagulation?","SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T3.ID = T2.ID WHERE (T2.RA = '-' OR T2.RA = '+-') AND T3.KCT = '+'","normal Rhuematoid Factor refers TO RA IN('-', '+-'); positive measure of degree of coagulation refers to KCT = '+'; Should compute the number of distinct ones","","moderate",""
"1188","thrombosis_prediction","How many female patients born in 1964 were admitted to the hospital? List them by ID.","SELECT ID FROM Patient WHERE STRFTIME('%Y', Birthday) = '1964' AND SEX = 'F' AND Admission = '+'","female refers to SEX = 'F'; born in 1964 refers to YEAR(Birthday) = 1964; admitted to the hospital refers to Admission = '+'","Ambiguous question. Asks ""how many"", then says to list patients by ID","simple","2"
"1166","thrombosis_prediction","What are the symptoms observed by the youngest patient to ever did a medical examination? Identify their diagnosis.","SELECT T2.Symptoms, T1.Diagnosis FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE T2.Symptoms IS NOT NULL ORDER BY T1.Birthday DESC LIMIT 1","the youngest patient refers to MIN(BIRTHDAY);","Syntactic errors in question. Incorrect ""NOT NULL"". It asks for the symptoms of the youngest patient who ever did a medical examination. Might just be so that that patient didn't have any symptoms at all, since there are cases in the database of patients who did medical examinations but who had no symptoms. Removing the  NOT NULL leads to different data returned which confirms this. ","simple","1, 3"
"1212","thrombosis_prediction","For patients with alkaliphophatase (ALP) within normal range, were they treated as inpatient or outpatient?","SELECT T1.Admission FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.ALP < 300","alkaliphophatase (ALP) within normal range refers to ALP < 300; inpatient refers to admission = '+'; outpatient refers to admission = '-'","","moderate",""
"1197","thrombosis_prediction","When was the medical information on patient number 48473 first documented, and what disease did she have?","SELECT `First Date`, Diagnosis FROM Patient WHERE ID = 48473","medical information first documented refers to Description; disease refers to diagnosis; patient number refers to id","medical information first documented refers to Description, but gold Query returns ""First Date"" which contains the date when a patient came to the hospital. Erroneous gold query","simple","3"
"1155","thrombosis_prediction","List the patient ID, sex and birthday of patient with LDH beyond normal range.","SELECT DISTINCT T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.LDH > 500","LDH beyond normal range refers to LDH > '500'","","simple",""
"1247","thrombosis_prediction","Among the male patients who have a normal level of white blood cells, how many of them have an abnormal fibrinogen level?","SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.FG <= 150 OR T2.FG >= 450 AND T2.WBC > 3.5 AND T2.WBC < 9.0 AND T1.SEX = 'M'","male patients refers to Sex = 'M'; normal level of white blood cells refers to WBC between 3.5 and 9.0; abnormal fibrinogen level refers to FG < = 150 or FG > = 450; Don't compute repetitive ones.","","challenging",""
"1245","thrombosis_prediction","For the examinations done after 1997/1/1, how many of them have the result of an inactivated partial prothrom bin time?","SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.Date > '1997-01-01' AND T2.APTT >= 45","examinations done after 1997/1/1 refers to `Examination Date` > '1997-01-01'; normal activated partial prothrom bin time refesr to APTT < 45;","","moderate",""
"1288","thrombosis_prediction","Please list the diagnosis of the patients whose total protein is lower than normal.","SELECT T1.Diagnosis FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TP < 6.0","total protein is lower than normal refers to TP < 6.0;","","simple",""
"1211","thrombosis_prediction","Provide the ID and age of patient with lactate dehydrogenase (LDH) between 100-300 index above the normal range.","SELECT DISTINCT T1.ID, STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.LDH > 600 AND T2.LDH < 800","age refers to SUBTRACT(year(current_timestamp), year(Birthday)); lactate dehydrogenase (LDH) between 100-300 index above the normal range refers to LDH between 600 and 800;","","moderate",""
"1174","thrombosis_prediction","What is the average age of patients examined in the laboratory for the October of the year 1991?","SELECT AVG('1999' - STRFTIME('%Y', T2.Birthday)) FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.Date BETWEEN '1991-10-01' AND '1991-10-30'","average age for first half of 1999 refers to AVG(SUBTRACT('1999', year(Birthday))); October of 1991 refers to Date BETWEEN '1991-10-01' AND '1991-10-30'","Erroneous gold SQL. Subtracts birth day from 1999 for some reason. ","moderate","3"
"1286","thrombosis_prediction","For the patient with an abnormal alkaliphophatase level, how many of them are admitted to the hospital?","SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.ALP >= 300 AND T1.Admission = '+'","abnormal alkaliphophatase level refers to ALP > = 300; admitted to the hospital refers to Admission = '+';","Erroneous gold SQL. Should be COUNT(DISTINCT T1.ID) since a patient can have been at the laboratory many times. This query counts the same patient many times","simple","3"
"1262","thrombosis_prediction","How many patients with a normal level of complement 3 have a P pattern observed in the sheet of ANA examination?","SELECT COUNT(DISTINCT T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.C3 > 35 AND T1.`ANA Pattern` = 'P'","normal level of complement 3 refers to C3 > 35; have a P pattern observed in the sheet of ANA examination refers to ANA Pattern = 'P'; Should compute the number of distinct ones","","moderate",""
"1185","thrombosis_prediction","For the patient who was born on 1959/2/18, what is the decrease rate for his/her total cholesterol from November to December in 1981?","SELECT CAST((SUM(CASE WHEN T2.Date LIKE '1981-11-%' THEN T2.`T-CHO` ELSE 0 END) - SUM(CASE WHEN T2.Date LIKE '1981-12-%' THEN T2.`T-CHO` ELSE 0 END)) AS REAL) / SUM(CASE WHEN T2.Date LIKE '1981-12-%' THEN T2.`T-CHO` ELSE 0 END) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Birthday = '1959-02-18'","born on 1959/2/18 refers to Birthday = '1959-02-18'; calculation = SUBTRACT(SUM(Birthday = '1959-02-18' and Date like '1981-11-%' THEN `T-CHO`), SUM(Birthday = '1959-02-18' and Date like '1981-12-%' THEN `T-CHO`))","Erroneous gold SQL. Should be divided by the total cholesterol in november","challenging","3"
"1277","thrombosis_prediction","How many patients have a normal anti-DNA level, yet their data are not recorded.","SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.DNA < 8 AND T1.Description IS NULL","normal anti-DNA level refers to DNA < 8; data are not recorded refers to Description IS NULL; Should compute the number of unique ones","","moderate",""
"1274","thrombosis_prediction","For the patients whose anti-SSB are normal, how many of them have other symptoms observed in their examination?","SELECT COUNT(DISTINCT T1.ID) FROM Examination AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.SSB = 'negative' OR '0' AND T1.Symptoms IS NOT NULL","anti-SSB are normal refers to SSB IN('-', '+-'); have other symptoms refers to Symptoms IS NOT NULL; Should compute the number of distinct ones","The word ""other"" should be removed from the question. ","moderate","1"
"1306","thrombosis_prediction","How many patients diagnosed with SLE have a normal white blood cell level?","SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Diagnosis = 'SLE' AND T2.WBC BETWEEN 3.5 AND 9","diagnosed with SLE refers to Diagnosis = 'SLE'; normal white blood cell level refers to WBC between 3.5 and 9.0;","Erroneous gold SQL. Should be COUNT(DISTINCT T1.ID) to avoid duplicate counts","simple","3"
"1281","thrombosis_prediction","Among the patients who have an abnormal level of glutamic oxaloacetic transaminase, when was the youngest of them born?","SELECT T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GOT >= 60 ORDER BY T1.Birthday DESC LIMIT 1","abnormal level of glutamic oxaloacetic transaminase refers to GOT > = 60; youngest refers to MAX(Birthday);","","moderate",""
"1251","thrombosis_prediction","How many patients with an Ig G lower than normal has the symptom of abortion?","SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T3.ID = T2.ID WHERE T2.IGG < 900 AND T3.Symptoms = 'abortion'","Ig G lower than normal refers to IGG < 900; symptom of abortion refers to Symptoms = 'abortion';","","moderate",""
"318","toxicology","What is the molecule id of bond id TR001_1_7?","SELECT DISTINCT T1.molecule_id FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR001_1_7'","","","simple",""
"297","toxicology","Among the atoms that contain element carbon, which one does not contain compound carcinogenic?","SELECT T1.atom_id FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'c' AND T2.label = '-'","label = '-' means molecules are non-carcinogenic; carbon refers to element = 'c'","Obvious syntactic error in question. ","simple","1"
"195","toxicology","What is the most common bond type?","SELECT T.bond_type FROM ( SELECT bond_type, COUNT(bond_id) FROM bond GROUP BY bond_type ORDER BY COUNT(bond_id) DESC LIMIT 1 ) AS T","most common bond type refers MAX(COUNT(bond_type))","","simple",""
"313","toxicology","How many atoms belong to molecule id TR005?","SELECT COUNT(T.atom_id) FROM atom AS T WHERE T.molecule_id = 'TR005'","","","simple",""
"219","toxicology","What is the percentage of carcinogenic molecules in triple type bonds?","SELECT CAST(COUNT(DISTINCT CASE WHEN T2.label = '+' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '#'","label = '+' mean molecules are carcinogenic; triple bond refers to bond_type = '#'; percentage = DIVIDE(SUM(bond_type = '#'), COUNT(bond_id)) as percent where label = '+'","","challenging",""
"280","toxicology","Enumerate the bond ID of triple bond type molecules and tell me if they are carcinogenic or not.","SELECT DISTINCT T1.bond_id, T2.label FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '#'","triple bond refers to bond_type = '#'; label = '+' mean molecules are carcinogenic; label = '-' means molecules are non-carcinogenic","","moderate",""
"234","toxicology","How many bonds which involved atom 12 does molecule TR009 have?","SELECT COUNT(T2.bond_id) FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.molecule_id = 'TR009' AND T2.atom_id = T1.molecule_id || '_1' AND T2.atom_id2 = T1.molecule_id || '_2'","TR009 is the molecule id; molecule_id = 'TR009' means the bond_id LIKE 'TR009_%'; involved atom 12 refers to atom_id = 'TR009_12' or atom_id2 = 'TR009_12'","Erroneous gold SQL. Should be SELECT COUNT(T2.bond_id) FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.molecule_id = 'TR009' AND T2.atom_id = T1.molecule_id || '_12' OR T2.atom_id2 = T1.molecule_id || '_12';","moderate","3"
"221","toxicology","What are the atoms that are bonded in the molecule TR001 with the bond ID of TR001_2_6?","SELECT SUBSTR(T.bond_id, 1, 7) AS atom_id1 , T.molecule_id || SUBSTR(T.bond_id, 8, 2) AS atom_id2 FROM bond AS T WHERE T.molecule_id = 'TR001' AND T.bond_id = 'TR001_2_6'","TR001 is the molecule id; TR001_2_6 is the bond id","","simple",""
"323","toxicology","Is molecule TR000 is carcinogenic or not?","SELECT label FROM molecule AS T WHERE T.molecule_id = 'TR000'","label = '+' mean molecules are carcinogenic; label = '-' means molecules are non-carcinogenic","","simple",""
